time,gFx,gFy,gFz,TgF
0.001000,-0.1537,0.4530,0.6606,0.816
0.002000,-0.1517,0.4534,0.6621,0.817
0.002000,-0.1520,0.4564,0.6743,0.828
0.002000,-0.1610,0.4625,0.6970,0.852
0.003000,-0.1691,0.4647,0.7061,0.862
0.005000,-0.1940,0.4657,0.7217,0.881
0.006000,-0.2069,0.4649,0.7310,0.891
0.009000,-0.2294,0.4625,0.7542,0.914
0.011000,-0.2441,0.4608,0.7825,0.940
0.012000,-0.2502,0.4586,0.7952,0.951
0.015000,-0.2585,0.4532,0.8194,0.971
0.017000,-0.2673,0.4508,0.8412,0.991
0.019000,-0.2717,0.4483,0.8509,0.999
0.021000,-0.2778,0.4422,0.8651,1.011
0.022000,-0.2812,0.4393,0.8715,1.016
0.024000,-0.2854,0.4339,0.8803,1.022
0.027000,-0.2888,0.4273,0.8949,1.033
0.029000,-0.2917,0.4246,0.9037,1.040
0.034000,-0.2932,0.4207,0.9194,1.053
0.034000,-0.2927,0.4168,0.9259,1.057
0.035000,-0.2907,0.4112,0.9308,1.058
0.037000,-0.2871,0.4051,0.9333,1.057
0.039000,-0.2851,0.4012,0.9347,1.056
0.041000,-0.2841,0.3958,0.9389,1.058
0.043000,-0.2834,0.3885,0.9355,1.052
0.046000,-0.2827,0.3855,0.9335,1.049
0.047000,-0.2844,0.3770,0.9262,1.040
0.049000,-0.2873,0.3726,0.9218,1.035
0.052000,-0.2998,0.3679,0.9125,1.029
0.053000,-0.3047,0.3609,0.9035,1.019
0.055000,-0.3103,0.3577,0.8979,1.015
0.057000,-0.3247,0.3513,0.8876,1.008
0.060000,-0.3481,0.3484,0.8839,1.012
0.062000,-0.3714,0.3396,0.8649,1.001
0.063000,-0.3838,0.3389,0.8563,0.998
0.065000,-0.3987,0.3367,0.8443,0.993
0.067000,-0.4495,0.3188,0.8055,0.976
0.069000,-0.4879,0.3127,0.7613,0.957
0.072000,-0.5062,0.3166,0.7271,0.941
0.073000,-0.5131,0.3227,0.7144,0.937
0.075000,-0.5287,0.3354,0.6980,0.938
0.078000,-0.5353,0.3406,0.6919,0.939
0.079000,-0.5421,0.3496,0.6780,0.936
0.082000,-0.5436,0.3596,0.6643,0.931
0.083000,-0.5421,0.3648,0.6596,0.928
0.085000,-0.5387,0.3701,0.6457,0.919
0.087000,-0.5382,0.3770,0.6389,0.916
0.089000,-0.5350,0.3802,0.6274,0.908
0.091000,-0.5275,0.3814,0.6140,0.895
0.094000,-0.5228,0.3828,0.6105,0.890
0.095000,-0.5167,0.3833,0.6069,0.884
0.097000,-0.5079,0.3845,0.6057,0.879
0.100000,-0.4815,0.3882,0.6120,0.870
0.101000,-0.4454,0.3955,0.6164,0.857
0.103000,-0.4251,0.3982,0.6174,0.849
0.105000,-0.3809,0.4043,0.6174,0.830
0.107000,-0.3587,0.4078,0.6149,0.820
0.109000,-0.3249,0.4090,0.6042,0.799
0.111000,-0.2951,0.4056,0.5910,0.775
0.113000,-0.2812,0.4026,0.5842,0.763
0.115000,-0.2558,0.3968,0.5761,0.745
0.117000,-0.2465,0.3911,0.5766,0.739
0.119000,-0.2375,0.3738,0.5810,0.731
0.122000,-0.2372,0.3523,0.5856,0.723
0.123000,-0.2411,0.3416,0.5851,0.719
0.124000,-0.2614,0.3147,0.5856,0.714
0.127000,-0.2758,0.2993,0.5878,0.715
0.129000,-0.3098,0.2673,0.5908,0.719
0.132000,-0.3401,0.2321,0.5883,0.718
0.133000,-0.3528,0.2145,0.5866,0.717
0.136000,-0.3699,0.1837,0.5773,0.710
0.137000,-0.3728,0.1571,0.5634,0.694
0.139000,-0.3684,0.1459,0.5526,0.680
0.141000,-0.3516,0.1263,0.5265,0.646
0.143000,-0.3403,0.1195,0.5126,0.627
0.145000,-0.3166,0.1073,0.4825,0.587
0.147000,-0.3003,0.0970,0.4574,0.556
0.149000,-0.2981,0.0914,0.4456,0.544
0.151000,-0.2978,0.0765,0.4234,0.523
0.153000,-0.2939,0.0699,0.4112,0.510
0.155000,-0.2834,0.0613,0.3872,0.484
0.157000,-0.2695,0.0581,0.3694,0.461
0.160000,-0.2626,0.0569,0.3623,0.451
0.162000,-0.2536,0.0535,0.3479,0.434
0.163000,-0.2475,0.0491,0.3328,0.418
0.165000,-0.2465,0.0474,0.3240,0.410
0.167000,-0.2475,0.0440,0.3042,0.395
0.169000,-0.2470,0.0442,0.2924,0.385
0.172000,-0.2475,0.0464,0.2656,0.366
0.173000,-0.2546,0.0520,0.2341,0.350
0.174000,-0.2604,0.0540,0.2155,0.342
0.178000,-0.2707,0.0589,0.1700,0.325
0.179000,-0.2753,0.0611,0.1437,0.317
0.182000,-0.2854,0.0643,0.0630,0.299
0.183000,-0.2898,0.0625,0.0347,0.298
0.185000,-0.2964,0.0599,0.0044,0.302
0.186000,-0.3083,0.0537,-0.0547,0.318
0.189000,-0.3247,0.0432,-0.1165,0.348
0.192000,-0.3394,0.0291,-0.1862,0.388
0.193000,-0.3452,0.0239,-0.2216,0.411
0.195000,-0.3516,0.0188,-0.2534,0.434
0.197000,-0.3670,0.0071,-0.3110,0.481
0.199000,-0.3889,-0.0017,-0.3503,0.523
0.201000,-0.4307,-0.0078,-0.3318,0.544
0.203000,-0.4640,-0.0149,-0.2988,0.552
0.205000,-0.5517,-0.0259,-0.2578,0.609
