time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002,-0.22,-0.52,-0.13
0.002,-0.24,-0.48,-0.14
0.002,-0.26,-0.47,-0.14
0.002,-0.28,-0.45,-0.15
0.004,-0.30,-0.44,-0.15
0.006,-0.33,-0.42,-0.15
0.008,-0.36,-0.41,-0.15
0.009,-0.37,-0.40,-0.15
0.012,-0.39,-0.40,-0.15
0.014,-0.41,-0.40,-0.14
0.016,-0.42,-0.40,-0.13
0.018,-0.43,-0.42,-0.12
0.019,-0.44,-0.43,-0.11
0.022,-0.44,-0.46,-0.09
0.024,-0.44,-0.47,-0.08
0.026,-0.45,-0.51,-0.06
0.030,-0.45,-0.55,-0.04
0.030,-0.45,-0.57,-0.03
0.032,-0.45,-0.61,-0.01
0.033,-0.45,-0.62,0.00
0.035,-0.45,-0.66,0.02
0.038,-0.44,-0.69,0.03
0.040,-0.45,-0.70,0.04
0.042,-0.45,-0.72,0.05
0.044,-0.45,-0.74,0.06
0.046,-0.46,-0.75,0.06
0.049,-0.48,-0.76,0.07
0.050,-0.48,-0.76,0.07
0.052,-0.50,-0.77,0.08
0.054,-0.52,-0.76,0.08
0.056,-0.53,-0.75,0.08
0.058,-0.55,-0.73,0.08
0.060,-0.56,-0.71,0.08
0.064,-0.58,-0.69,0.09
0.064,-0.59,-0.66,0.08
0.066,-0.61,-0.65,0.09
0.070,-0.62,-0.63,0.09
0.070,-0.63,-0.62,0.09
0.072,-0.64,-0.61,0.08
0.073,-0.65,-0.60,0.08
0.075,-0.65,-0.60,0.08
0.078,-0.65,-0.59,0.07
0.080,-0.64,-0.57,0.06
0.081,-0.64,-0.56,0.05
0.083,-0.62,-0.54,0.04
0.086,-0.60,-0.52,0.03
0.088,-0.56,-0.49,0.02
0.089,-0.54,-0.49,0.02
0.092,-0.53,-0.48,0.01
0.094,-0.49,-0.47,0.01
0.097,-0.46,-0.47,0.01
0.099,-0.42,-0.49,0.02
0.100,-0.40,-0.50,0.03
0.102,-0.39,-0.53,0.03
0.105,-0.35,-0.57,0.05
0.106,-0.31,-0.62,0.06
0.109,-0.28,-0.68,0.07
0.110,-0.26,-0.71,0.07
0.113,-0.25,-0.74,0.08
0.114,-0.22,-0.81,0.09
0.116,-0.19,-0.86,0.12
0.119,-0.17,-0.91,0.14
0.120,-0.16,-0.93,0.15
0.122,-0.14,-0.97,0.17
0.124,-0.13,-0.98,0.19
0.126,-0.11,-0.99,0.21
0.129,-0.09,-0.98,0.23
0.130,-0.07,-0.97,0.25
0.132,-0.06,-0.95,0.27
0.134,-0.04,-0.92,0.28
0.136,-0.01,-0.88,0.30
0.138,0.00,-0.84,0.33
0.140,0.01,-0.82,0.34
0.142,0.02,-0.77,0.36
0.144,0.01,-0.75,0.38
0.146,0.02,-0.70,0.41
0.149,0.02,-0.64,0.44
0.150,0.01,-0.62,0.45
0.152,0.00,-0.57,0.48
0.154,0.01,-0.55,0.49
0.156,-0.01,-0.51,0.51
0.159,-0.02,-0.48,0.52
0.160,-0.02,-0.47,0.53
0.162,-0.02,-0.45,0.53
0.164,-0.04,-0.43,0.53
0.166,-0.04,-0.41,0.52
0.168,-0.03,-0.41,0.50
0.170,-0.04,-0.41,0.48
0.171,-0.04,-0.41,0.45
0.173,-0.04,-0.43,0.41
0.176,-0.04,-0.45,0.39
0.179,-0.02,-0.50,0.33
0.180,-0.02,-0.54,0.30
0.182,0.01,-0.63,0.22
0.184,0.04,-0.74,0.13
0.186,0.06,-0.80,0.09
0.189,0.09,-0.94,-0.00
0.190,0.12,-1.08,-0.09
0.193,0.14,-1.15,-0.13
0.194,0.16,-1.29,-0.20
0.197,0.17,-1.35,-0.24
0.199,0.17,-1.46,-0.31
0.200,0.18,-1.53,-0.34
0.202,0.18,-1.55,-0.40
0.204,0.16,-1.58,-0.45
0.206,0.14,-1.58,-0.47
0.208,0.10,-1.56,-0.51
0.210,0.08,-1.54,-0.52
0.212,0.05,-1.53,-0.53
0.214,-0.00,-1.50,-0.53
0.216,-0.06,-1.49,-0.52
0.219,-0.10,-1.46,-0.49
0.220,-0.12,-1.45,-0.49
0.222,-0.12,-1.42,-0.49
0.224,-0.14,-1.36,-0.48
0.226,-0.13,-1.29,-0.48
0.230,-0.12,-1.18,-0.48
0.230,-0.10,-1.12,-0.48
0.233,-0.10,-1.07,-0.48
0.234,-0.08,-0.94,-0.47
0.236,-0.07,-0.81,-0.46
0.238,-0.06,-0.68,-0.44
0.240,-0.05,-0.61,-0.42
0.242,-0.05,-0.48,-0.40
0.244,-0.04,-0.42,-0.39
0.246,-0.03,-0.30,-0.36
0.249,-0.02,-0.18,-0.34
0.250,-0.02,-0.13,-0.33
0.252,-0.00,-0.02,-0.30
0.254,0.02,0.03,-0.29
0.256,0.04,0.12,-0.27
0.259,0.07,0.20,-0.25
0.260,0.09,0.23,-0.25
0.262,0.12,0.28,-0.23
0.264,0.14,0.30,-0.22
0.266,0.17,0.31,-0.21
0.268,0.21,0.30,-0.19
0.270,0.23,0.30,-0.19
0.272,0.28,0.26,-0.17
0.274,0.30,0.23,-0.17
0.276,0.34,0.17,-0.16
0.279,0.38,0.11,-0.15
0.280,0.40,0.07,-0.15
