time,gFx,gFy,gFz,TgF
0.002000,-0.0425,0.3794,0.9289,1.004
0.002000,-0.0406,0.3821,0.9137,0.991
0.002000,-0.0354,0.3845,0.8983,0.978
0.002000,-0.0342,0.3841,0.8905,0.970
0.003000,-0.0335,0.3836,0.8822,0.963
0.003000,-0.0344,0.3843,0.8683,0.950
0.004000,-0.0352,0.3855,0.8595,0.943
0.008000,-0.0359,0.3860,0.8522,0.936
0.008000,-0.0359,0.3865,0.8492,0.934
0.010000,-0.0388,0.3872,0.8473,0.932
0.012000,-0.0398,0.3860,0.8458,0.931
0.014000,-0.0430,0.3831,0.8414,0.926
0.017000,-0.0459,0.3811,0.8385,0.922
0.018000,-0.0489,0.3804,0.8382,0.922
0.020000,-0.0608,0.3770,0.8375,0.920
0.022000,-0.0657,0.3762,0.8385,0.921
0.026000,-0.0713,0.3743,0.8409,0.923
0.027000,-0.0706,0.3743,0.8431,0.925
0.028000,-0.0687,0.3726,0.8448,0.926
0.030000,-0.0638,0.3733,0.8497,0.930
0.032000,-0.0613,0.3748,0.8507,0.932
0.034000,-0.0535,0.3777,0.8536,0.935
0.037000,-0.0484,0.3780,0.8583,0.939
0.038000,-0.0481,0.3772,0.8607,0.941
0.040000,-0.0450,0.3765,0.8685,0.948
0.043000,-0.0437,0.3765,0.8729,0.952
0.044000,-0.0413,0.3777,0.8844,0.963
0.047000,-0.0362,0.3784,0.8959,0.973
0.048000,-0.0344,0.3797,0.9010,0.978
0.050000,-0.0308,0.3784,0.9152,0.991
0.052000,-0.0318,0.3777,0.9235,0.998
0.054000,-0.0320,0.3775,0.9394,1.013
0.057000,-0.0332,0.3780,0.9526,1.025
0.058000,-0.0335,0.3765,0.9575,1.029
0.061000,-0.0335,0.3755,0.9646,1.036
0.062000,-0.0327,0.3748,0.9697,1.040
0.064000,-0.0330,0.3726,0.9702,1.040
0.068000,-0.0325,0.3711,0.9687,1.038
0.069000,-0.0313,0.3704,0.9685,1.037
0.070000,-0.0271,0.3699,0.9638,1.033
0.073000,-0.0239,0.3670,0.9577,1.026
0.075000,-0.0242,0.3652,0.9550,1.023
0.077000,-0.0217,0.3638,0.9506,1.018
0.078000,-0.0213,0.3631,0.9477,1.015
