time,wx (rad/s),wy (rad/s),wz (rad/s)
72.606,-0.45,-0.70,-0.09
72.608,-0.38,-0.79,-0.11
72.610,-0.30,-0.87,-0.14
72.613,-0.21,-0.93,-0.16
72.614,-0.17,-0.95,-0.18
72.616,-0.14,-0.97,-0.19
72.618,-0.06,-0.99,-0.21
72.623,0.00,-0.99,-0.23
72.624,0.06,-0.97,-0.24
72.624,0.08,-0.95,-0.24
72.626,0.10,-0.92,-0.24
72.628,0.12,-0.86,-0.22
72.630,0.13,-0.78,-0.20
72.633,0.13,-0.69,-0.17
72.634,0.13,-0.64,-0.15
72.636,0.12,-0.54,-0.11
72.643,0.11,-0.49,-0.09
72.643,0.09,-0.38,-0.05
72.643,0.07,-0.28,-0.01
72.644,0.07,-0.23,0.01
72.646,0.05,-0.13,0.04
72.648,0.04,-0.08,0.06
72.651,0.02,0.01,0.08
72.659,0.01,0.07,0.10
72.659,0.01,0.11,0.11
72.659,0.01,0.16,0.11
72.659,0.01,0.18,0.11
72.660,0.00,0.22,0.11
72.663,-0.01,0.23,0.10
72.666,-0.01,0.24,0.09
72.667,-0.01,0.25,0.08
72.668,-0.03,0.25,0.07
72.677,-0.04,0.25,0.06
72.677,-0.06,0.24,0.05
72.677,-0.07,0.24,0.04
72.677,-0.10,0.23,0.03
72.678,-0.10,0.22,0.02
72.681,-0.14,0.21,0.01
72.683,-0.17,0.20,0.00
72.692,-0.18,0.19,-0.00
72.692,-0.22,0.17,-0.01
72.692,-0.24,0.15,-0.02
72.692,-0.27,0.14,-0.02
72.693,-0.29,0.12,-0.03
72.694,-0.30,0.11,-0.03
72.696,-0.31,0.08,-0.04
72.698,-0.33,0.05,-0.05
72.700,-0.33,0.03,-0.05
72.705,-0.34,-0.00,-0.05
72.705,-0.34,-0.02,-0.06
72.706,-0.35,-0.06,-0.06
72.708,-0.34,-0.09,-0.07
72.710,-0.34,-0.10,-0.07
72.713,-0.34,-0.13,-0.08
72.714,-0.33,-0.16,-0.07
72.716,-0.32,-0.17,-0.08
72.718,-0.32,-0.20,-0.07
72.720,-0.32,-0.22,-0.07
72.723,-0.32,-0.25,-0.06
72.724,-0.31,-0.28,-0.06
72.726,-0.31,-0.30,-0.05
72.728,-0.30,-0.33,-0.05
72.730,-0.29,-0.35,-0.05
72.734,-0.28,-0.40,-0.04
72.734,-0.28,-0.41,-0.04
72.737,-0.28,-0.42,-0.04
72.739,-0.27,-0.44,-0.05
72.741,-0.26,-0.45,-0.05
72.743,-0.26,-0.43,-0.05
72.744,-0.25,-0.43,-0.05
72.746,-0.25,-0.42,-0.05
72.748,-0.24,-0.41,-0.05
72.750,-0.24,-0.41,-0.05
72.760,-0.24,-0.40,-0.05
72.760,-0.25,-0.39,-0.05
72.760,-0.25,-0.39,-0.04
72.760,-0.25,-0.38,-0.04
72.762,-0.25,-0.37,-0.03
72.764,-0.24,-0.35,-0.03
72.764,-0.23,-0.34,-0.02
72.767,-0.23,-0.32,-0.01
72.768,-0.21,-0.31,-0.01
72.774,-0.21,-0.29,-0.01
72.774,-0.20,-0.26,-0.00
72.774,-0.19,-0.24,0.00
72.777,-0.18,-0.22,0.00
72.778,-0.18,-0.21,-0.00
72.780,-0.16,-0.18,-0.00
72.784,-0.15,-0.16,-0.00
72.784,-0.16,-0.14,-0.00
72.787,-0.15,-0.12,-0.01
72.791,-0.15,-0.11,-0.01
72.792,-0.15,-0.09,-0.01
72.793,-0.14,-0.07,-0.02
72.794,-0.15,-0.06,-0.02
72.797,-0.15,-0.04,-0.03
72.799,-0.14,-0.03,-0.03
72.801,-0.15,-0.02,-0.04
72.804,-0.15,-0.00,-0.05
72.804,-0.15,0.00,-0.05
72.806,-0.15,0.00,-0.05
72.808,-0.16,0.01,-0.05
72.810,-0.17,0.01,-0.05
72.813,-0.18,0.00,-0.05
72.814,-0.18,0.00,-0.04
72.816,-0.19,-0.00,-0.04
72.818,-0.20,-0.01,-0.03
72.822,-0.19,-0.01,-0.03
72.823,-0.20,-0.02,-0.03
72.824,-0.21,-0.03,-0.03
72.826,-0.21,-0.04,-0.02
72.830,-0.21,-0.05,-0.03
72.830,-0.21,-0.05,-0.03
72.833,-0.21,-0.06,-0.03
72.835,-0.22,-0.07,-0.03
72.836,-0.22,-0.07,-0.04
72.839,-0.22,-0.08,-0.04
72.840,-0.22,-0.09,-0.04
72.843,-0.22,-0.11,-0.04
72.846,-0.21,-0.12,-0.04
72.846,-0.22,-0.13,-0.04
72.848,-0.21,-0.16,-0.03
72.850,-0.20,-0.17,-0.03
72.853,-0.18,-0.22,-0.02
72.856,-0.18,-0.23,-0.02
72.857,-0.17,-0.25,-0.01
72.859,-0.16,-0.27,-0.01
72.863,-0.13,-0.30,0.00
72.863,-0.11,-0.32,0.01
72.864,-0.10,-0.33,0.01
72.866,-0.08,-0.34,0.01
72.868,-0.06,-0.35,0.01
72.874,-0.03,-0.35,0.01
72.874,0.00,-0.35,0.01
72.875,0.01,-0.35,0.01
72.876,0.01,-0.36,0.01
72.878,0.04,-0.37,0.01
72.880,0.05,-0.37,0.01
72.883,0.06,-0.38,0.01
72.884,0.06,-0.38,0.00
72.886,0.07,-0.38,-0.00
72.891,0.07,-0.38,-0.01
72.892,0.07,-0.37,-0.01
72.895,0.06,-0.36,-0.01
72.895,0.06,-0.35,-0.01
72.896,0.05,-0.35,-0.02
72.898,0.05,-0.34,-0.02
72.900,0.04,-0.33,-0.02
72.905,0.03,-0.31,-0.02
