time,gFx,gFy,gFz,TgF
0.002000,-0.1016,0.1782,0.8564,0.881
0.003000,-0.0935,0.1828,0.8640,0.888
0.003000,-0.0767,0.1885,0.8889,0.912
0.008000,-0.0580,0.1959,0.9151,0.938
0.013000,-0.0424,0.2019,0.9371,0.960
0.018000,-0.0285,0.2064,0.9587,0.981
0.032000,-0.0167,0.2096,0.9784,1.001
0.032000,-0.0055,0.2148,0.9967,1.020
0.033000,-0.0004,0.2161,1.0138,1.037
0.038000,0.0010,0.2151,1.0238,1.046
0.044000,0.0004,0.2136,1.0280,1.050
0.047000,-0.0023,0.2115,1.0264,1.048
0.052000,-0.0102,0.2069,1.0166,1.038
0.057000,-0.0227,0.1981,1.0053,1.025
0.064000,-0.0358,0.1886,0.9976,1.016
0.067000,-0.0461,0.1838,0.9894,1.007
0.075000,-0.0503,0.1834,0.9825,1.001
0.077000,-0.0458,0.1849,0.9778,0.996
0.082000,-0.0391,0.1858,0.9734,0.992
0.086000,-0.0333,0.1870,0.9685,0.987
0.092000,-0.0316,0.1889,0.9633,0.982
0.096000,-0.0321,0.1900,0.9610,0.980
0.101000,-0.0319,0.1912,0.9607,0.980
0.107000,-0.0332,0.1911,0.9619,0.981
0.112000,-0.0351,0.1896,0.9612,0.980
0.116000,-0.0394,0.1847,0.9611,0.980
0.121000,-0.0483,0.1783,0.9619,0.979
0.126000,-0.0536,0.1759,0.9646,0.982
0.131000,-0.0560,0.1784,0.9746,0.992
0.136000,-0.0526,0.1803,0.9847,1.002
0.151000,-0.0453,0.1810,0.9917,1.009
0.151000,-0.0384,0.1811,0.9922,1.009
0.152000,-0.0337,0.1830,0.9901,1.007
0.155000,-0.0326,0.1826,0.9854,1.003
0.162000,-0.0309,0.1843,0.9805,0.998
0.165000,-0.0280,0.1852,0.9754,0.993
0.170000,-0.0280,0.1878,0.9665,0.985
0.175000,-0.0269,0.1891,0.9525,0.971
0.181000,-0.0290,0.1864,0.9429,0.962
0.185000,-0.0377,0.1871,0.9413,0.960
0.191000,-0.0439,0.1855,0.9491,0.968
0.198000,-0.0458,0.1871,0.9565,0.976
0.200000,-0.0412,0.1902,0.9646,0.984
0.205000,-0.0350,0.1904,0.9689,0.988
0.210000,-0.0256,0.1925,0.9693,0.989
0.215000,-0.0266,0.1924,0.9651,0.984
0.219000,-0.0300,0.1904,0.9625,0.982
0.231000,-0.0359,0.1902,0.9635,0.983
0.233000,-0.0363,0.1875,0.9707,0.989
0.238000,-0.0304,0.1903,0.9804,0.999
0.244000,-0.0266,0.1926,0.9881,1.007
0.248000,-0.0262,0.1922,0.9922,1.011
0.253000,-0.0269,0.1895,0.9956,1.014
0.258000,-0.0330,0.1874,1.0041,1.022
0.263000,-0.0364,0.1882,1.0106,1.029
0.268000,-0.0408,0.1859,1.0184,1.036
0.276000,-0.0445,0.1845,1.0169,1.034
0.280000,-0.0462,0.1813,1.0069,1.024
0.283000,-0.0478,0.1811,0.9934,1.011
0.288000,-0.0467,0.1825,0.9786,0.997
0.293000,-0.0401,0.1860,0.9675,0.986
0.298000,-0.0277,0.1913,0.9576,0.977
0.302000,-0.0176,0.1977,0.9539,0.974
0.311000,-0.0167,0.1986,0.9496,0.970
0.315000,-0.0238,0.1968,0.9465,0.967
0.318000,-0.0331,0.1950,0.9464,0.967
0.322000,-0.0404,0.1943,0.9483,0.969
0.329000,-0.0448,0.1911,0.9522,0.972
0.333000,-0.0456,0.1900,0.9546,0.974
0.337000,-0.0420,0.1885,0.9557,0.975
0.344000,-0.0369,0.1873,0.9549,0.974
0.350000,-0.0317,0.1868,0.9530,0.972
0.351000,-0.0315,0.1850,0.9562,0.974
0.356000,-0.0301,0.1866,0.9627,0.981
0.361000,-0.0230,0.1931,0.9736,0.993
0.367000,-0.0128,0.2010,0.9894,1.010
0.371000,-0.0058,0.2041,0.9990,1.020
0.376000,-0.0087,0.2011,0.9984,1.018
0.382000,-0.0160,0.1959,0.9919,1.011
0.386000,-0.0203,0.1906,0.9817,1.000
0.397000,-0.0205,0.1887,0.9724,0.991
0.397000,-0.0183,0.1895,0.9671,0.986
0.401000,-0.0198,0.1890,0.9659,0.984
0.405000,-0.0286,0.1869,0.9685,0.987
0.411000,-0.0342,0.1875,0.9688,0.987
0.415000,-0.0353,0.1909,0.9668,0.986
0.420000,-0.0322,0.1950,0.9684,0.988
0.425000,-0.0248,0.2005,0.9747,0.995
0.429000,-0.0162,0.2029,0.9783,0.999
0.434000,-0.0106,0.2018,0.9775,0.998
0.441000,-0.0082,0.2002,0.9709,0.991
0.445000,-0.0098,0.1990,0.9682,0.989
0.449000,-0.0186,0.1972,0.9713,0.991
0.454000,-0.0314,0.1932,0.9763,0.996
0.460000,-0.0416,0.1924,0.9836,1.003
0.464000,-0.0474,0.1919,0.9882,1.008
0.469000,-0.0470,0.1898,0.9921,1.011
0.474000,-0.0393,0.1892,0.9957,1.014
0.478000,-0.0293,0.1909,1.0032,1.022
0.484000,-0.0215,0.1941,1.0097,1.028
0.489000,-0.0157,0.1924,1.0081,1.026
0.494000,-0.0200,0.1880,1.0032,1.021
0.499000,-0.0291,0.1852,0.9957,1.013
0.504000,-0.0400,0.1886,0.9892,1.008
0.511000,-0.0450,0.1896,0.9837,1.003
0.518000,-0.0457,0.1932,0.9776,0.998
0.522000,-0.0410,0.1989,0.9669,0.988
0.524000,-0.0363,0.1983,0.9576,0.979
0.529000,-0.0341,0.1943,0.9502,0.971
0.533000,-0.0323,0.1906,0.9463,0.966
0.537000,-0.0360,0.1871,0.9466,0.966
0.544000,-0.0350,0.1884,0.9526,0.972
0.549000,-0.0347,0.1963,0.9596,0.980
0.558000,-0.0251,0.2012,0.9765,0.997
0.564000,-0.0178,0.2069,0.9866,1.008
0.567000,-0.0160,0.2041,0.9915,1.012
0.572000,-0.0233,0.1979,0.9962,1.016
0.579000,-0.0283,0.1921,0.9994,1.018
0.581000,-0.0275,0.1886,0.9963,1.014
0.586000,-0.0310,0.1871,0.9919,1.010
0.592000,-0.0331,0.1876,0.9839,1.002
0.596000,-0.0354,0.1873,0.9797,0.998
0.601000,-0.0362,0.1892,0.9794,0.998
0.606000,-0.0353,0.1889,0.9820,1.001
0.611000,-0.0350,0.1876,0.9854,1.004
0.616000,-0.0296,0.1879,0.9848,1.003
0.622000,-0.0247,0.1862,0.9832,1.001
0.627000,-0.0265,0.1836,0.9791,0.997
0.632000,-0.0326,0.1812,0.9753,0.992
0.636000,-0.0376,0.1792,0.9773,0.994
0.643000,-0.0422,0.1798,0.9794,0.997
0.647000,-0.0408,0.1819,0.9762,0.994
0.651000,-0.0377,0.1832,0.9759,0.994
0.656000,-0.0329,0.1835,0.9723,0.990
0.662000,-0.0295,0.1844,0.9648,0.983
0.666000,-0.0228,0.1882,0.9596,0.978
0.670000,-0.0190,0.1914,0.9607,0.980
