time,wx (rad/s),wy (rad/s),wz (rad/s)
0.004,-0.06,-0.55,0.24
0.004,-0.29,-0.47,0.16
0.005,-0.47,-0.39,0.08
0.009,-0.62,-0.32,0.01
0.010,-0.72,-0.27,-0.07
0.012,-0.80,-0.23,-0.14
0.018,-0.84,-0.21,-0.20
0.027,-0.87,-0.23,-0.26
0.028,-0.86,-0.26,-0.31
0.031,-0.83,-0.30,-0.35
0.037,-0.79,-0.32,-0.41
0.042,-0.73,-0.34,-0.46
0.047,-0.67,-0.38,-0.50
0.053,-0.59,-0.43,-0.53
0.058,-0.50,-0.45,-0.55
0.060,-0.39,-0.41,-0.56
0.066,-0.28,-0.35,-0.56
0.070,-0.17,-0.29,-0.54
0.075,-0.08,-0.25,-0.52
0.080,-0.02,-0.24,-0.48
0.088,0.02,-0.26,-0.44
0.092,0.04,-0.28,-0.39
0.095,0.02,-0.30,-0.35
0.099,-0.02,-0.33,-0.32
0.106,-0.08,-0.37,-0.29
0.109,-0.17,-0.41,-0.27
0.114,-0.27,-0.44,-0.25
0.119,-0.37,-0.44,-0.24
0.124,-0.46,-0.42,-0.24
0.129,-0.54,-0.37,-0.24
0.135,-0.61,-0.30,-0.26
0.140,-0.64,-0.23,-0.27
0.143,-0.66,-0.18,-0.29
0.148,-0.65,-0.16,-0.29
0.154,-0.62,-0.19,-0.30
0.158,-0.55,-0.25,-0.30
0.163,-0.46,-0.32,-0.29
0.177,-0.35,-0.42,-0.28
0.177,-0.24,-0.51,-0.26
0.178,-0.13,-0.59,-0.23
0.183,-0.03,-0.65,-0.20
0.187,0.06,-0.67,-0.17
0.192,0.14,-0.64,-0.14
0.198,0.20,-0.55,-0.12
0.204,0.24,-0.44,-0.10
0.207,0.25,-0.33,-0.10
0.212,0.24,-0.22,-0.09
0.217,0.21,-0.13,-0.09
0.227,0.17,-0.07,-0.10
0.232,0.11,-0.04,-0.10
0.237,0.06,-0.04,-0.11
0.243,0.01,-0.06,-0.12
0.247,-0.04,-0.10,-0.12
0.253,-0.09,-0.15,-0.12
0.257,-0.14,-0.20,-0.11
0.261,-0.18,-0.25,-0.09
0.266,-0.21,-0.27,-0.07
0.271,-0.22,-0.24,-0.05
0.277,-0.22,-0.20,-0.03
0.281,-0.20,-0.14,-0.01
0.287,-0.17,-0.09,-0.00
0.291,-0.14,-0.05,-0.00
0.295,-0.12,-0.03,-0.01
0.304,-0.11,-0.04,-0.02
0.306,-0.10,-0.07,-0.04
0.310,-0.09,-0.11,-0.06
0.315,-0.08,-0.12,-0.09
0.321,-0.08,-0.11,-0.11
0.327,-0.07,-0.09,-0.13
0.330,-0.06,-0.06,-0.14
0.336,-0.05,-0.04,-0.14
0.339,-0.04,-0.03,-0.13
0.344,-0.03,-0.02,-0.10
0.349,-0.01,-0.01,-0.08
0.355,0.00,-0.02,-0.05
0.359,0.02,-0.03,-0.03
0.364,0.02,-0.06,-0.01
0.370,0.02,-0.10,0.01
0.374,0.01,-0.16,0.03
0.379,-0.00,-0.23,0.04
0.384,-0.02,-0.30,0.06
0.389,-0.05,-0.36,0.07
0.394,-0.08,-0.41,0.07
0.398,-0.11,-0.43,0.07
0.404,-0.14,-0.44,0.05
0.408,-0.18,-0.40,0.02
0.413,-0.23,-0.31,-0.01
0.419,-0.28,-0.20,-0.04
0.424,-0.32,-0.09,-0.07
0.428,-0.37,0.03,-0.09
0.432,-0.41,0.14,-0.10
0.438,-0.43,0.23,-0.10
0.443,-0.44,0.29,-0.11
0.447,-0.44,0.32,-0.10
0.455,-0.42,0.33,-0.09
0.457,-0.39,0.31,-0.07
0.462,-0.35,0.28,-0.05
0.467,-0.30,0.24,-0.02
0.472,-0.27,0.21,0.01
0.478,-0.24,0.18,0.04
0.482,-0.22,0.15,0.06
0.487,-0.20,0.12,0.07
0.492,-0.20,0.08,0.08
0.496,-0.21,0.04,0.08
0.502,-0.23,-0.01,0.07
0.506,-0.26,-0.07,0.05
0.511,-0.28,-0.11,0.02
0.516,-0.31,-0.14,-0.00
0.521,-0.33,-0.15,-0.03
0.526,-0.35,-0.13,-0.05
0.530,-0.37,-0.10,-0.06
0.537,-0.38,-0.07,-0.07
0.542,-0.38,-0.02,-0.08
0.550,-0.38,0.03,-0.08
0.556,-0.36,0.09,-0.08
0.561,-0.33,0.13,-0.08
0.566,-0.29,0.16,-0.09
0.572,-0.24,0.15,-0.09
0.575,-0.18,0.12,-0.10
0.580,-0.13,0.09,-0.11
0.590,-0.08,0.05,-0.11
0.591,-0.04,0.02,-0.10
0.594,-0.01,-0.01,-0.08
0.600,0.02,-0.04,-0.07
0.605,0.03,-0.06,-0.05
0.609,0.03,-0.07,-0.04
0.614,0.03,-0.07,-0.02
0.619,0.04,-0.05,-0.02
0.624,0.06,-0.02,-0.01
0.629,0.09,0.01,-0.00
0.633,0.13,0.04,0.01
0.639,0.17,0.04,0.03
0.643,0.20,0.02,0.05
0.648,0.22,-0.01,0.06
0.654,0.23,-0.04,0.07
0.658,0.23,-0.07,0.07
0.663,0.22,-0.09,0.06
0.668,0.20,-0.10,0.04
0.673,0.16,-0.11,0.02
0.678,0.13,-0.12,0.01
0.683,0.09,-0.12,-0.01
0.688,0.07,-0.12,-0.02
0.692,0.06,-0.12,-0.03
0.697,0.06,-0.11,-0.03
0.702,0.08,-0.09,-0.02
0.708,0.10,-0.07,-0.02
0.712,0.12,-0.04,-0.02
0.717,0.15,-0.02,-0.02
0.722,0.18,0.00,-0.01
0.727,0.20,0.01,0.01
0.731,0.22,0.01,0.04
0.740,0.22,-0.00,0.06
0.741,0.20,-0.02,0.07
0.746,0.17,-0.05,0.09
0.751,0.14,-0.07,0.09
0.757,0.11,-0.09,0.09
0.762,0.09,-0.10,0.08
0.766,0.06,-0.10,0.06
0.771,0.05,-0.11,0.04
0.776,0.03,-0.12,0.01
0.781,0.01,-0.12,-0.02
0.785,-0.02,-0.12,-0.05
0.790,-0.05,-0.11,-0.06
0.796,-0.08,-0.10,-0.06
0.800,-0.11,-0.10,-0.06
0.806,-0.14,-0.09,-0.06
0.810,-0.16,-0.08,-0.07
0.815,-0.17,-0.08,-0.09
0.821,-0.17,-0.07,-0.13
0.827,-0.15,-0.05,-0.17
0.829,-0.13,-0.03,-0.20
0.834,-0.12,-0.02,-0.23
0.841,-0.12,-0.01,-0.23
0.844,-0.13,-0.01,-0.22
0.849,-0.17,-0.02,-0.20
0.858,-0.24,-0.04,-0.17
0.859,-0.35,-0.03,-0.13
0.864,-0.49,0.02,-0.10
0.869,-0.67,0.07,-0.08
0.878,-0.84,0.09,-0.05
0.883,-1.00,0.08,-0.05
0.889,-1.12,0.02,-0.10
0.893,-1.18,-0.01,-0.16
0.898,-1.20,-0.06,-0.22
0.903,-1.18,-0.18,-0.28
0.909,-1.10,-0.32,-0.34
0.913,-1.00,-0.41,-0.41
0.918,-0.94,-0.41,-0.51
0.923,-0.91,-0.36,-0.61
0.928,-0.91,-0.31,-0.67
0.933,-0.93,-0.23,-0.69
0.940,-1.00,-0.14,-0.70
0.944,-1.10,-0.09,-0.69
0.947,-1.22,-0.12,-0.68
0.952,-1.37,-0.25,-0.67
0.959,-1.55,-0.44,-0.65
0.962,-1.73,-0.60,-0.61
0.967,-1.89,-0.71,-0.55
0.976,-2.03,-0.78,-0.47
0.981,-2.14,-0.83,-0.37
0.982,-2.21,-0.86,-0.29
0.987,-2.27,-0.89,-0.20
0.992,-2.28,-0.92,-0.11
0.997,-2.25,-0.99,-0.08
1.001,-2.17,-1.05,-0.07
1.010,-2.03,-1.09,-0.09
1.013,-1.85,-1.05,-0.10
1.016,-1.65,-0.90,-0.12
1.021,-1.45,-0.62,-0.13
1.026,-1.28,-0.23,-0.12
1.030,-1.19,0.26,-0.06
1.035,-1.15,0.79,0.05
1.040,-1.16,1.30,0.14
1.046,-1.18,1.70,0.19
1.050,-1.19,1.91,0.22
1.056,-1.17,1.90,0.23
1.061,-1.11,1.71,0.25
1.064,-1.00,1.42,0.25
1.069,-0.86,1.12,0.26
1.075,-0.72,0.88,0.28
1.080,-0.58,0.69,0.33
1.084,-0.45,0.54,0.40
1.091,-0.34,0.43,0.49
1.094,-0.26,0.34,0.58
1.099,-0.20,0.27,0.66
1.104,-0.16,0.21,0.73
1.109,-0.14,0.18,0.79
1.113,-0.13,0.17,0.85
1.118,-0.12,0.15,0.90
1.125,-0.11,0.13,0.95
1.129,-0.09,0.10,1.02
1.133,-0.07,0.08,1.08
1.139,-0.04,0.06,1.14
1.144,-0.02,0.09,1.20
1.148,-0.03,0.18,1.26
1.153,-0.04,0.31,1.30
1.159,-0.07,0.44,1.32
1.162,-0.09,0.51,1.32
1.167,-0.09,0.54,1.31
1.173,-0.09,0.58,1.27
1.178,-0.06,0.58,1.21
1.182,-0.01,0.54,1.13
1.187,0.07,0.47,1.04
1.192,0.17,0.43,0.96
1.202,0.29,0.44,0.89
1.207,0.41,0.50,0.82
1.212,0.53,0.59,0.76
1.217,0.65,0.68,0.71
1.223,0.78,0.80,0.69
1.227,0.92,1.03,0.71
1.231,1.06,1.27,0.76
1.236,1.20,1.34,0.83
1.241,1.31,1.30,0.89
1.247,1.38,1.21,0.94
1.251,1.43,1.11,0.98
1.259,1.43,1.00,0.97
1.261,1.34,0.84,0.90
1.266,1.12,0.60,0.73
1.271,0.79,0.30,0.45
1.277,0.43,0.04,0.12
1.281,0.14,-0.11,-0.16
1.285,-0.03,-0.16,-0.34
1.291,-0.09,-0.13,-0.40
1.295,-0.04,-0.08,-0.37
1.300,0.12,-0.02,-0.27
1.307,0.34,0.04,-0.14
1.310,0.58,0.07,-0.04
1.314,0.80,0.04,0.01
1.319,0.96,-0.06,-0.02
1.325,1.02,-0.22,-0.12
1.329,0.99,-0.38,-0.26
1.335,0.90,-0.48,-0.38
1.340,0.76,-0.49,-0.45
1.344,0.58,-0.43,-0.45
1.349,0.40,-0.34,-0.41
1.354,0.23,-0.26,-0.33
1.359,0.11,-0.21,-0.25
1.364,0.03,-0.18,-0.19
1.369,-0.00,-0.16,-0.16
1.375,0.03,-0.15,-0.13
1.379,0.12,-0.12,-0.10
1.383,0.23,-0.04,-0.08
1.390,0.32,0.07,-0.08
1.393,0.36,0.20,-0.07
1.398,0.32,0.35,-0.06
1.402,0.19,0.51,-0.03
1.408,-0.02,0.69,0.02
1.413,-0.31,0.86,0.07
1.418,-0.61,1.03,0.14
1.426,-0.88,1.18,0.22
1.430,-1.05,1.24,0.31
1.432,-1.11,1.19,0.40
1.437,-1.05,0.97,0.48
1.443,-0.88,0.50,0.59
1.447,-0.63,-0.07,0.67
1.452,-0.33,-0.53,0.65
1.459,0.02,-0.82,0.57
1.462,0.40,-1.00,0.46
1.467,0.74,-1.15,0.37
1.472,1.02,-1.14,0.26
1.477,1.24,-0.97,0.15
1.481,1.39,-0.67,0.06
1.486,1.47,-0.26,0.00
1.491,1.47,0.15,-0.01
1.497,1.40,0.47,0.05
1.502,1.30,0.65,0.17
1.507,1.17,0.72,0.31
1.511,1.02,0.64,0.40
