time,gFx,gFy,gFz,TgF
0.001000,0.0901,0.5584,0.7936,0.975
0.004000,0.0709,0.5495,0.8125,0.983
0.009000,0.0489,0.5407,0.8189,0.982
0.014000,0.0359,0.5313,0.7863,0.950
0.019000,0.0347,0.5286,0.7251,0.898
0.023000,0.0370,0.5389,0.7397,0.916
0.029000,0.0486,0.5509,0.7787,0.955
0.033000,0.0639,0.5600,0.8195,0.995
0.038000,0.0771,0.5639,0.8509,1.024
0.043000,0.0881,0.5611,0.8689,1.038
0.048000,0.0907,0.5535,0.8741,1.039
0.053000,0.0873,0.5437,0.8779,1.036
0.058000,0.0807,0.5317,0.8840,1.035
0.064000,0.0701,0.5242,0.8889,1.034
0.068000,0.0583,0.5244,0.8908,1.035
0.073000,0.0499,0.5279,0.8885,1.035
0.078000,0.0431,0.5293,0.8813,1.029
0.083000,0.0399,0.5291,0.8683,1.018
0.087000,0.0434,0.5303,0.8559,1.008
0.092000,0.0488,0.5318,0.8444,0.999
0.097000,0.0551,0.5308,0.8305,0.987
0.102000,0.0614,0.5309,0.8187,0.978
0.107000,0.0688,0.5336,0.8108,0.973
0.113000,0.0766,0.5377,0.8046,0.971
0.117000,0.0831,0.5441,0.7986,0.970
0.122000,0.0884,0.5471,0.7915,0.966
0.127000,0.0919,0.5481,0.7890,0.965
0.132000,0.0928,0.5492,0.7880,0.965
0.137000,0.0929,0.5473,0.7883,0.964
0.142000,0.0914,0.5427,0.7889,0.962
0.148000,0.0886,0.5382,0.7886,0.959
0.152000,0.0816,0.5348,0.7922,0.959
0.157000,0.0727,0.5292,0.7987,0.961
0.162000,0.0675,0.5237,0.8049,0.963
0.167000,0.0736,0.5260,0.8098,0.968
0.172000,0.0846,0.5327,0.8169,0.979
0.176000,0.0905,0.5415,0.8258,0.992
0.182000,0.0893,0.5465,0.8315,0.999
0.186000,0.0849,0.5433,0.8368,1.001
0.192000,0.0787,0.5357,0.8392,0.999
0.197000,0.0743,0.5345,0.8423,1.000
0.201000,0.0706,0.5359,0.8458,1.004
0.206000,0.0653,0.5358,0.8477,1.005
0.212000,0.0584,0.5349,0.8506,1.006
0.218000,0.0513,0.5339,0.8506,1.006
0.221000,0.0408,0.5341,0.8455,1.001
0.226000,0.0345,0.5317,0.8446,0.999
0.234000,0.0349,0.5304,0.8418,0.996
0.241000,0.0336,0.5301,0.8401,0.994
0.242000,0.0375,0.5318,0.8367,0.992
0.246000,0.0442,0.5338,0.8347,0.992
0.251000,0.0520,0.5342,0.8312,0.989
0.255000,0.0624,0.5374,0.8300,0.991
0.260000,0.0749,0.5438,0.8304,0.995
0.265000,0.0898,0.5475,0.8253,0.994
0.270000,0.0976,0.5533,0.8286,1.001
0.275000,0.1103,0.5583,0.8289,1.005
0.283000,0.1214,0.5615,0.8402,1.018
0.288000,0.1245,0.5528,0.8516,1.023
0.295000,0.1279,0.5501,0.8555,1.025
0.300000,0.1310,0.5584,0.8536,1.028
0.304000,0.1238,0.5569,0.8538,1.027
0.309000,0.1099,0.5492,0.8505,1.018
0.316000,0.0945,0.5405,0.8455,1.008
0.319000,0.0767,0.5344,0.8454,1.003
