time,wx (rad/s),wy (rad/s),wz (rad/s)
0.003,-0.04,-0.40,-0.84
0.004,-0.10,-0.48,-0.81
0.010,-0.17,-0.55,-0.76
0.011,-0.23,-0.64,-0.70
0.014,-0.28,-0.71,-0.63
0.027,-0.32,-0.77,-0.55
0.027,-0.34,-0.82,-0.48
0.029,-0.33,-0.83,-0.42
0.034,-0.32,-0.82,-0.38
0.040,-0.29,-0.80,-0.37
0.044,-0.26,-0.76,-0.38
0.049,-0.23,-0.69,-0.43
0.055,-0.21,-0.61,-0.48
0.059,-0.19,-0.51,-0.54
0.064,-0.18,-0.42,-0.60
0.070,-0.18,-0.34,-0.64
0.074,-0.20,-0.28,-0.68
0.079,-0.23,-0.26,-0.70
0.084,-0.27,-0.25,-0.71
0.089,-0.32,-0.26,-0.71
0.093,-0.37,-0.28,-0.71
0.098,-0.41,-0.31,-0.71
0.118,-0.44,-0.36,-0.70
0.119,-0.45,-0.42,-0.69
0.120,-0.46,-0.52,-0.66
0.121,-0.46,-0.64,-0.62
0.139,-0.47,-0.77,-0.60
0.139,-0.48,-0.89,-0.58
0.141,-0.49,-0.99,-0.58
0.141,-0.50,-1.08,-0.60
0.147,-0.52,-1.13,-0.63
0.152,-0.54,-1.12,-0.67
0.157,-0.59,-1.02,-0.71
0.162,-0.67,-0.86,-0.75
0.167,-0.74,-0.69,-0.77
0.172,-0.81,-0.51,-0.78
0.176,-0.88,-0.33,-0.79
0.181,-0.95,-0.18,-0.81
0.188,-1.00,-0.07,-0.83
0.192,-1.03,0.01,-0.87
0.196,-1.02,0.07,-0.89
0.201,-0.97,0.10,-0.91
0.207,-0.90,0.07,-0.89
0.213,-0.83,-0.04,-0.85
0.217,-0.78,-0.17,-0.77
0.222,-0.74,-0.30,-0.70
0.227,-0.71,-0.40,-0.62
0.231,-0.67,-0.49,-0.54
0.235,-0.63,-0.55,-0.45
0.241,-0.60,-0.55,-0.35
0.245,-0.60,-0.51,-0.25
0.250,-0.62,-0.45,-0.14
0.263,-0.68,-0.37,-0.05
0.264,-0.76,-0.28,0.02
0.264,-0.86,-0.20,0.06
0.269,-0.95,-0.14,0.09
0.275,-1.03,-0.10,0.11
0.279,-1.09,-0.05,0.14
0.284,-1.13,0.03,0.17
0.289,-1.16,0.12,0.24
0.294,-1.17,0.19,0.35
0.299,-1.16,0.18,0.49
0.304,-1.13,0.10,0.63
0.309,-1.09,-0.03,0.76
0.314,-1.05,-0.19,0.88
0.319,-1.00,-0.36,0.99
0.324,-0.97,-0.50,1.10
0.330,-0.95,-0.59,1.22
0.333,-0.95,-0.66,1.33
0.341,-0.94,-0.74,1.43
0.346,-0.90,-0.85,1.50
0.348,-0.84,-0.98,1.54
0.353,-0.76,-1.11,1.55
0.358,-0.65,-1.21,1.52
0.363,-0.53,-1.28,1.47
0.368,-0.39,-1.32,1.39
0.374,-0.25,-1.30,1.30
0.378,-0.12,-1.21,1.22
0.382,-0.03,-1.05,1.18
0.387,0.03,-0.87,1.20
0.393,0.08,-0.68,1.28
0.397,0.10,-0.51,1.39
0.402,0.12,-0.35,1.53
0.409,0.12,-0.21,1.66
0.414,0.11,-0.13,1.77
0.417,0.11,-0.11,1.84
0.424,0.11,-0.19,1.86
0.427,0.14,-0.33,1.82
0.432,0.20,-0.51,1.75
0.437,0.28,-0.71,1.66
0.442,0.39,-0.90,1.52
0.446,0.51,-1.05,1.30
0.453,0.62,-1.15,1.00
0.458,0.71,-1.22,0.63
0.462,0.78,-1.21,0.23
0.466,0.84,-1.13,-0.19
