time,wx (rad/s),wy (rad/s),wz (rad/s)
0.003,-0.11,0.07,0.04
0.003,-0.11,0.07,0.03
0.009,-0.10,0.04,0.01
0.013,-0.09,0.02,0.01
0.017,-0.08,-0.01,0.01
0.022,-0.06,-0.02,0.01
0.028,-0.03,-0.03,0.01
0.032,-0.01,-0.03,0.01
0.037,0.02,-0.03,0.00
0.042,0.03,-0.02,0.00
0.047,0.04,-0.00,0.01
0.052,0.04,0.01,0.00
0.056,0.04,0.03,0.00
0.061,0.03,0.04,0.00
0.066,0.02,0.05,-0.00
0.071,0.01,0.05,-0.00
0.084,-0.02,0.05,-0.01
0.084,-0.04,0.06,-0.02
0.086,-0.06,0.06,-0.02
0.091,-0.08,0.06,-0.04
0.096,-0.10,0.06,-0.05
0.101,-0.12,0.06,-0.05
0.113,-0.13,0.05,-0.05
0.115,-0.14,0.04,-0.05
0.121,-0.13,0.03,-0.05
0.128,-0.12,0.03,-0.04
0.130,-0.10,0.01,-0.03
0.135,-0.07,0.00,-0.02
0.140,-0.05,-0.01,-0.01
0.145,-0.03,-0.00,-0.01
0.150,-0.02,0.00,-0.00
0.155,-0.01,0.01,0.00
0.161,-0.01,0.02,0.01
0.164,-0.01,0.03,0.01
0.169,-0.02,0.04,0.01
0.174,-0.02,0.04,0.01
0.179,-0.03,0.04,0.00
0.184,-0.02,0.04,-0.00
0.201,-0.02,0.04,-0.01
0.201,-0.01,0.04,-0.01
0.202,-0.01,0.03,-0.01
0.204,-0.01,0.02,-0.02
0.211,-0.00,0.02,-0.01
0.217,0.01,0.02,-0.01
0.219,0.01,0.02,0.00
0.223,0.02,0.03,0.01
0.230,0.03,0.04,0.02
0.233,0.02,0.05,0.02
0.238,0.02,0.05,0.02
0.244,0.01,0.06,0.03
0.249,0.00,0.06,0.03
0.252,-0.01,0.06,0.03
0.257,-0.01,0.05,0.02
0.262,-0.02,0.05,0.01
0.267,-0.02,0.05,-0.01
0.272,-0.03,0.05,-0.02
0.278,-0.03,0.05,-0.03
0.282,-0.02,0.04,-0.04
0.287,-0.02,0.03,-0.04
0.293,-0.01,0.02,-0.04
0.297,-0.00,0.00,-0.03
0.301,0.01,-0.01,-0.03
0.306,0.01,-0.02,-0.02
0.312,0.01,-0.03,-0.01
0.317,-0.00,-0.03,-0.01
0.322,-0.01,-0.03,-0.01
0.328,-0.03,-0.02,-0.00
0.336,-0.05,-0.01,-0.01
0.337,-0.07,0.00,-0.01
0.341,-0.09,0.02,-0.01
0.349,-0.11,0.03,-0.01
0.352,-0.12,0.04,-0.01
0.355,-0.12,0.04,-0.02
0.370,-0.11,0.05,-0.02
0.371,-0.10,0.06,-0.02
0.371,-0.09,0.06,-0.02
0.375,-0.07,0.05,-0.02
0.380,-0.05,0.03,-0.02
0.384,-0.03,0.02,-0.01
0.390,-0.02,0.00,-0.01
0.395,-0.01,-0.00,-0.01
0.400,-0.01,0.00,-0.02
0.406,-0.02,0.01,-0.03
0.411,-0.04,0.02,-0.05
0.415,-0.07,0.03,-0.06
0.419,-0.08,0.03,-0.07
0.424,-0.10,0.03,-0.08
0.432,-0.11,0.03,-0.08
0.439,-0.12,0.03,-0.08
0.445,-0.12,0.02,-0.08
0.449,-0.11,0.01,-0.07
0.453,-0.10,0.01,-0.08
0.459,-0.09,0.02,-0.08
0.463,-0.09,0.03,-0.09
0.470,-0.08,0.04,-0.09
0.473,-0.08,0.06,-0.10
0.480,-0.08,0.06,-0.10
0.483,-0.09,0.07,-0.10
0.487,-0.09,0.06,-0.09
0.493,-0.08,0.05,-0.09
0.497,-0.08,0.03,-0.09
0.502,-0.08,0.01,-0.08
0.507,-0.08,-0.00,-0.08
0.512,-0.08,-0.01,-0.08
0.517,-0.08,-0.02,-0.08
0.522,-0.09,-0.02,-0.09
0.528,-0.09,-0.03,-0.09
0.532,-0.09,-0.03,-0.08
0.537,-0.10,-0.03,-0.08
0.541,-0.11,-0.04,-0.08
0.547,-0.13,-0.04,-0.07
0.552,-0.15,-0.03,-0.06
0.557,-0.17,-0.03,-0.04
0.561,-0.20,-0.02,-0.02
0.566,-0.23,-0.02,-0.01
0.571,-0.25,-0.00,0.01
0.576,-0.27,0.01,0.02
0.581,-0.29,0.03,0.03
0.586,-0.30,0.04,0.04
0.591,-0.31,0.05,0.04
0.597,-0.30,0.06,0.04
0.601,-0.28,0.07,0.04
0.605,-0.25,0.07,0.05
0.612,-0.22,0.06,0.05
0.616,-0.18,0.06,0.06
0.620,-0.15,0.05,0.07
0.625,-0.12,0.05,0.08
0.631,-0.10,0.04,0.10
0.637,-0.09,0.04,0.11
0.640,-0.09,0.05,0.13
0.646,-0.09,0.07,0.14
0.650,-0.09,0.09,0.14
0.654,-0.11,0.12,0.15
0.659,-0.12,0.15,0.15
0.665,-0.13,0.17,0.15
0.669,-0.13,0.17,0.16
0.674,-0.12,0.17,0.18
0.679,-0.11,0.16,0.19
0.684,-0.09,0.15,0.20
0.689,-0.08,0.13,0.22
0.700,-0.06,0.11,0.24
0.701,-0.05,0.09,0.25
0.706,-0.04,0.07,0.26
0.709,-0.03,0.06,0.27
0.720,-0.04,0.06,0.27
0.721,-0.06,0.07,0.27
0.723,-0.09,0.07,0.27
0.731,-0.11,0.08,0.26
0.735,-0.13,0.08,0.26
0.738,-0.15,0.09,0.26
0.743,-0.17,0.10,0.25
0.748,-0.19,0.11,0.25
0.753,-0.21,0.11,0.26
0.763,-0.23,0.11,0.26
0.768,-0.23,0.11,0.28
0.773,-0.23,0.10,0.29
0.780,-0.21,0.10,0.30
0.783,-0.20,0.09,0.30
0.788,-0.18,0.07,0.31
0.794,-0.16,0.05,0.31
0.800,-0.15,0.04,0.31
0.803,-0.13,0.02,0.31
0.808,-0.12,0.02,0.31
0.813,-0.10,0.01,0.31
0.817,-0.10,-0.00,0.31
0.821,-0.10,-0.00,0.31
0.826,-0.11,-0.01,0.31
0.833,-0.12,-0.01,0.32
0.838,-0.13,-0.00,0.33
0.842,-0.14,0.00,0.33
0.854,-0.15,0.00,0.33
0.855,-0.17,0.01,0.33
0.856,-0.19,0.02,0.33
0.862,-0.20,0.03,0.32
0.871,-0.20,0.03,0.31
0.871,-0.20,0.03,0.30
0.875,-0.19,0.02,0.30
0.880,-0.17,0.01,0.30
0.885,-0.15,-0.01,0.30
0.891,-0.13,-0.02,0.30
0.897,-0.10,-0.03,0.31
0.900,-0.09,-0.04,0.31
0.904,-0.07,-0.05,0.32
0.909,-0.05,-0.05,0.32
0.915,-0.04,-0.04,0.32
0.919,-0.03,-0.05,0.31
0.924,-0.04,-0.05,0.31
0.931,-0.05,-0.06,0.30
0.936,-0.06,-0.07,0.29
0.939,-0.09,-0.08,0.29
