time,gFx,gFy,gFz,TgF
0.001000,-0.0691,0.2495,0.8956,0.932
0.005000,-0.0687,0.2500,0.9175,0.953
0.005000,-0.0591,0.2536,0.9552,0.990
0.008000,-0.0400,0.2572,1.0029,1.036
0.014000,-0.0209,0.2676,1.0515,1.085
0.018000,-0.0025,0.2712,1.0937,1.127
0.028000,0.0074,0.2698,1.1157,1.148
0.029000,0.0102,0.2650,1.1142,1.145
0.033000,0.0042,0.2614,1.0987,1.129
0.041000,-0.0067,0.2566,1.0748,1.105
0.046000,-0.0114,0.2532,1.0414,1.072
0.050000,-0.0131,0.2570,1.0088,1.041
0.054000,-0.0157,0.2623,0.9785,1.013
0.061000,-0.0207,0.2615,0.9564,0.992
0.063000,-0.0252,0.2608,0.9356,0.972
0.067000,-0.0264,0.2607,0.9252,0.962
0.072000,-0.0293,0.2605,0.9218,0.958
0.077000,-0.0271,0.2600,0.9208,0.957
0.088000,-0.0320,0.2604,0.9282,0.965
0.092000,-0.0358,0.2518,0.9427,0.976
0.096000,-0.0433,0.2456,0.9539,0.986
0.101000,-0.0437,0.2450,0.9602,0.992
0.106000,-0.0425,0.2472,0.9699,1.002
0.111000,-0.0384,0.2487,0.9830,1.015
0.116000,-0.0361,0.2501,0.9889,1.021
0.121000,-0.0384,0.2417,0.9854,1.015
0.126000,-0.0420,0.2344,0.9745,1.003
0.131000,-0.0488,0.2290,0.9686,0.996
0.136000,-0.0530,0.2318,0.9688,0.998
0.142000,-0.0569,0.2378,0.9722,1.002
0.146000,-0.0507,0.2426,0.9749,1.006
0.151000,-0.0411,0.2480,0.9673,0.999
0.156000,-0.0280,0.2566,0.9544,0.989
0.161000,-0.0215,0.2590,0.9475,0.982
0.166000,-0.0202,0.2593,0.9470,0.982
0.179000,-0.0204,0.2572,0.9487,0.983
0.179000,-0.0219,0.2557,0.9540,0.988
0.180000,-0.0231,0.2535,0.9565,0.990
0.185000,-0.0224,0.2571,0.9610,0.995
0.190000,-0.0193,0.2612,0.9612,0.996
0.196000,-0.0132,0.2649,0.9648,1.001
0.201000,-0.0111,0.2652,0.9670,1.003
0.206000,-0.0122,0.2624,0.9694,1.004
0.213000,-0.0171,0.2603,0.9728,1.007
0.215000,-0.0214,0.2565,0.9757,1.009
0.219000,-0.0276,0.2504,0.9761,1.008
0.225000,-0.0298,0.2439,0.9716,1.002
0.230000,-0.0273,0.2412,0.9637,0.994
0.234000,-0.0228,0.2436,0.9580,0.989
0.239000,-0.0210,0.2478,0.9612,0.993
0.250000,-0.0260,0.2531,0.9705,1.003
0.250000,-0.0315,0.2556,0.9799,1.013
0.256000,-0.0345,0.2545,0.9846,1.018
0.260000,-0.0323,0.2529,0.9902,1.023
0.264000,-0.0243,0.2485,0.9958,1.027
0.269000,-0.0210,0.2397,0.9919,1.021
0.274000,-0.0269,0.2319,0.9767,1.004
0.278000,-0.0366,0.2307,0.9549,0.983
0.283000,-0.0420,0.2373,0.9341,0.965
0.289000,-0.0456,0.2475,0.9211,0.955
0.293000,-0.0472,0.2544,0.9190,0.955
0.299000,-0.0456,0.2562,0.9231,0.959
0.304000,-0.0401,0.2556,0.9303,0.966
0.313000,-0.0334,0.2564,0.9412,0.976
0.315000,-0.0255,0.2580,0.9535,0.988
0.318000,-0.0178,0.2585,0.9660,1.000
0.324000,-0.0081,0.2580,0.9758,1.009
0.328000,0.0026,0.2582,0.9781,1.012
0.334000,0.0103,0.2561,0.9708,1.004
