time,wx (rad/s),wy (rad/s),wz (rad/s)
0.004,0.08,-0.21,-0.01
0.004,-0.00,-0.15,-0.01
0.006,-0.10,-0.10,-0.00
0.011,-0.20,-0.03,0.01
0.016,-0.28,0.03,0.01
0.021,-0.34,0.08,0.02
0.034,-0.39,0.10,0.02
0.034,-0.42,0.09,0.02
0.035,-0.44,0.06,0.02
0.040,-0.45,0.03,0.03
0.045,-0.46,-0.00,0.05
0.050,-0.46,-0.04,0.07
0.055,-0.47,-0.05,0.09
0.062,-0.47,-0.05,0.09
0.065,-0.46,-0.02,0.08
0.069,-0.44,0.00,0.06
0.077,-0.42,0.03,0.04
0.079,-0.38,0.05,0.02
0.084,-0.35,0.06,0.00
0.089,-0.31,0.08,-0.02
0.094,-0.26,0.09,-0.04
0.099,-0.22,0.10,-0.06
0.104,-0.18,0.10,-0.08
0.118,-0.14,0.08,-0.09
0.118,-0.10,0.07,-0.10
0.118,-0.06,0.05,-0.10
0.126,-0.03,0.04,-0.10
0.129,-0.00,0.03,-0.09
0.133,0.02,0.04,-0.09
0.138,0.04,0.06,-0.08
0.143,0.05,0.08,-0.07
0.148,0.06,0.10,-0.07
0.153,0.06,0.12,-0.06
0.160,0.05,0.14,-0.06
0.163,0.05,0.15,-0.05
0.168,0.05,0.15,-0.05
0.172,0.04,0.14,-0.04
0.178,0.04,0.13,-0.04
0.182,0.03,0.11,-0.03
0.188,0.03,0.08,-0.03
0.193,0.03,0.06,-0.03
0.201,0.02,0.05,-0.03
0.202,0.02,0.04,-0.04
0.208,0.01,0.04,-0.04
0.212,0.00,0.05,-0.05
0.217,-0.01,0.05,-0.07
0.221,-0.02,0.05,-0.07
0.228,-0.03,0.05,-0.08
0.232,-0.04,0.04,-0.09
0.236,-0.05,0.03,-0.09
0.251,-0.06,0.03,-0.09
0.252,-0.07,0.02,-0.08
0.253,-0.08,0.02,-0.08
0.256,-0.08,0.03,-0.07
0.261,-0.09,0.04,-0.06
0.266,-0.09,0.05,-0.05
0.271,-0.09,0.06,-0.04
0.277,-0.09,0.06,-0.04
0.280,-0.10,0.06,-0.03
0.285,-0.10,0.07,-0.02
0.290,-0.10,0.06,-0.02
0.295,-0.10,0.06,-0.01
0.305,-0.10,0.06,-0.01
0.311,-0.10,0.06,-0.01
0.315,-0.09,0.05,-0.01
0.319,-0.10,0.05,-0.01
0.325,-0.10,0.05,-0.02
0.330,-0.10,0.05,-0.03
0.334,-0.10,0.04,-0.03
0.339,-0.09,0.04,-0.04
0.344,-0.09,0.03,-0.04
0.350,-0.08,0.03,-0.04
0.354,-0.08,0.02,-0.04
0.360,-0.08,0.02,-0.03
0.364,-0.07,0.02,-0.02
0.369,-0.07,0.03,-0.02
0.375,-0.07,0.04,-0.01
0.385,-0.05,0.07,-0.01
0.385,0.00,0.13,-0.02
0.389,0.06,0.18,-0.02
0.394,0.11,0.20,-0.02
0.399,0.15,0.19,-0.01
0.403,0.16,0.16,-0.01
0.408,0.16,0.13,0.00
0.413,0.16,0.11,0.01
0.418,0.15,0.09,0.03
0.423,0.14,0.08,0.03
0.430,0.13,0.07,0.04
0.433,0.12,0.07,0.04
0.438,0.11,0.07,0.03
0.444,0.11,0.06,0.02
0.447,0.10,0.07,0.01
0.452,0.10,0.07,0.01
0.457,0.09,0.07,-0.00
0.462,0.08,0.06,-0.01
0.466,0.07,0.05,-0.02
0.471,0.04,0.04,-0.02
0.477,0.02,0.04,-0.03
0.481,0.00,0.04,-0.04
0.486,-0.01,0.04,-0.06
0.491,-0.02,0.05,-0.07
0.496,-0.02,0.06,-0.07
0.500,-0.02,0.07,-0.07
0.506,-0.02,0.08,-0.06
0.513,-0.03,0.07,-0.05
0.517,-0.03,0.06,-0.04
0.520,-0.03,0.05,-0.02
0.525,-0.03,0.05,-0.00
0.531,-0.03,0.04,0.01
0.535,-0.03,0.04,0.01
0.540,-0.03,0.04,0.01
0.545,-0.02,0.04,0.01
0.550,-0.01,0.04,0.01
0.555,-0.00,0.04,0.00
0.561,0.01,0.05,-0.00
0.564,0.02,0.06,-0.01
0.569,0.03,0.05,-0.02
0.574,0.02,0.04,-0.03
0.580,0.01,0.04,-0.03
0.584,0.01,0.03,-0.02
0.589,-0.00,0.03,-0.02
0.594,-0.01,0.02,-0.01
0.601,-0.02,0.01,-0.01
0.603,-0.03,0.00,-0.01
0.609,-0.04,0.00,-0.02
0.615,-0.05,0.00,-0.02
0.619,-0.06,0.02,-0.03
0.629,-0.07,0.03,-0.03
0.633,-0.07,0.04,-0.03
